step,stakeholder,query_type,mechanism,epsilon,error_meters,count_error,completeness,latency_ms
3600,planner,location,laplace,1.0,571.8655607607665,0,1.0,1.420736312866211
3600,planner,count,laplace,1.0,0,2,1.0,12.900114059448242
3700,operator,location,laplace,1.0,568.3024693281407,0,1.0,15.809059143066406
3700,operator,count,laplace,1.0,0,5,1.0,12.785911560058594
3800,operator,location,laplace,1.0,527.6794961394439,0,1.0,25.033950805664062
3800,operator,count,laplace,1.0,0,2,1.0,1.0869503021240234
3900,operator,location,laplace,1.0,540.8042070464953,0,1.0,13.179779052734375
3900,operator,count,laplace,1.0,0,1,1.0,1.2218952178955078
3900,planner,location,laplace,1.0,520.9006713921679,0,1.0,1.188039779663086
3900,planner,count,laplace,1.0,0,3,1.0,0.0
4000,operator,location,laplace,1.0,538.044739045744,0,1.0,19.011497497558594
4000,operator,count,laplace,1.0,0,2,1.0,0.0
4100,operator,location,laplace,1.0,546.876182895828,0,1.0,24.668455123901367
4100,operator,count,laplace,1.0,0,4,1.0,0.0
4200,operator,location,laplace,1.0,571.2952107557863,0,1.0,3.5936832427978516
4200,operator,count,laplace,1.0,0,1,1.0,0.0
4200,planner,location,laplace,1.0,558.3799786281413,0,1.0,17.97771453857422
4200,planner,count,laplace,1.0,0,2,1.0,0.0
4300,operator,location,laplace,1.0,579.2790483063445,0,1.0,27.013778686523438
4300,operator,count,laplace,1.0,0,0,1.0,0.0
4400,operator,location,laplace,1.0,571.2893735178857,0,1.0,15.912532806396484
4400,operator,count,laplace,1.0,0,0,1.0,13.75436782836914
4500,operator,location,laplace,1.0,516.9491636119385,0,1.0,14.313697814941406
4500,operator,count,laplace,1.0,0,1,1.0,1.047372817993164
4500,planner,location,laplace,1.0,555.4769749030846,0,1.0,4.614830017089844
4500,planner,count,laplace,1.0,0,1,1.0,0.0
4600,operator,location,laplace,1.0,559.6131072102963,0,1.0,11.998414993286133
4600,operator,count,laplace,1.0,0,0,1.0,0.0
4700,operator,location,laplace,1.0,544.5956753055261,0,1.0,14.716148376464844
4700,operator,count,laplace,1.0,0,1,1.0,1.1379718780517578
4800,operator,location,laplace,1.0,510.5161952967328,0,1.0,15.207290649414062
4800,operator,count,laplace,1.0,0,1,1.0,1.493692398071289
4800,planner,location,laplace,1.0,568.923330189888,0,1.0,11.971235275268555
4800,planner,count,laplace,1.0,0,0,1.0,0.0
4900,operator,location,laplace,1.0,541.404144538537,0,1.0,22.08876609802246
4900,operator,count,laplace,1.0,0,3,1.0,0.0
5000,operator,location,laplace,1.0,538.1273648026761,0,1.0,22.23968505859375
5000,operator,count,laplace,1.0,0,1,1.0,0.0
5100,operator,location,laplace,1.0,563.2929360863385,0,1.0,26.23438835144043
5100,operator,count,laplace,1.0,0,3,1.0,0.9095668792724609
5100,planner,location,laplace,1.0,583.6947482644298,0,1.0,14.966487884521484
5100,planner,count,laplace,1.0,0,2,1.0,3.906726837158203
5200,operator,location,laplace,1.0,533.3978213225121,0,1.0,26.3214111328125
5200,operator,count,laplace,1.0,0,0,1.0,1.0149478912353516
5300,operator,location,laplace,1.0,579.1172711861207,0,1.0,20.391225814819336
5300,operator,count,laplace,1.0,0,0,1.0,0.0
5400,operator,location,laplace,1.0,594.8494285259764,0,1.0,17.539024353027344
5400,operator,count,laplace,1.0,0,3,1.0,0.4665851593017578
5400,planner,location,laplace,1.0,601.2004637817322,0,1.0,16.37864112854004
5400,planner,count,laplace,1.0,0,2,1.0,0.0
5500,operator,location,laplace,1.0,534.5638944418382,0,1.0,11.713743209838867
5500,operator,count,laplace,1.0,0,5,1.0,0.0
5600,operator,location,laplace,1.0,563.3496893836552,0,1.0,16.59703254699707
5600,operator,count,laplace,1.0,0,0,1.0,1.3813972473144531
5700,operator,location,laplace,1.0,565.4652800511934,0,1.0,16.826868057250977
5700,operator,count,laplace,1.0,0,3,1.0,0.0
5700,planner,location,laplace,1.0,576.7041064166195,0,1.0,17.03786849975586
5700,planner,count,laplace,1.0,0,3,1.0,0.0
5800,operator,location,laplace,1.0,560.4997982577489,0,1.0,16.788244247436523
5800,operator,count,laplace,1.0,0,1,1.0,0.0
5900,operator,location,laplace,1.0,536.8673790131081,0,1.0,16.82734489440918
5900,operator,count,laplace,1.0,0,1,1.0,0.0
6000,operator,location,laplace,1.0,576.8208757063628,0,1.0,16.240835189819336
6000,operator,count,laplace,1.0,0,0,1.0,1.1706352233886719
6000,planner,location,laplace,1.0,573.6606957790249,0,1.0,18.273591995239258
6000,planner,count,laplace,1.0,0,1,1.0,1.3308525085449219
6100,operator,location,laplace,1.0,558.698534602277,0,1.0,19.679546356201172
6100,operator,count,laplace,1.0,0,1,1.0,0.0
6200,operator,location,laplace,1.0,567.8734512909566,0,1.0,20.48516273498535
6200,operator,count,laplace,1.0,0,4,1.0,0.0
6300,operator,location,laplace,1.0,557.0225627504317,0,1.0,31.212806701660156
6300,operator,count,laplace,1.0,0,1,1.0,0.9984970092773438
6300,planner,location,laplace,1.0,566.5623819699318,0,1.0,17.539262771606445
6300,planner,count,laplace,1.0,0,1,1.0,1.0304450988769531
6400,operator,location,laplace,1.0,581.956862904297,0,1.0,17.907142639160156
6400,operator,count,laplace,1.0,0,0,1.0,0.0
