step,stakeholder,query_type,mechanism,epsilon,error_meters,count_error,completeness,latency_ms
3600,planner,location,k_anonymity,5,150.10232736400633,0,1.0,83.98771286010742
3600,planner,count,k_anonymity,5,0,0,1.0,0.0
3700,operator,location,laplace,1.0,562.1644690450823,0,1.0,15.99264144897461
3700,operator,count,laplace,1.0,0,2,1.0,2.0813941955566406
3800,operator,location,laplace,1.0,588.7527523717871,0,1.0,0.0
3800,operator,count,laplace,1.0,0,1,1.0,0.8537769317626953
3900,operator,location,laplace,1.0,561.7371543204365,0,1.0,13.748645782470703
3900,operator,count,laplace,1.0,0,2,1.0,0.0
3900,planner,location,k_anonymity,5,128.01101762179027,0,1.0,112.19477653503418
3900,planner,count,k_anonymity,5,0,0,1.0,0.0
4000,operator,location,laplace,1.0,582.0075703350446,0,1.0,22.159099578857422
4000,operator,count,laplace,1.0,0,1,1.0,0.0
4100,operator,location,laplace,1.0,561.2921274180471,0,1.0,34.03759002685547
4100,operator,count,laplace,1.0,0,0,1.0,15.060901641845703
4200,operator,location,laplace,1.0,570.8120905011416,0,1.0,14.795303344726562
4200,operator,count,laplace,1.0,0,1,1.0,1.007080078125
4200,planner,location,k_anonymity,5,139.61486192864464,0,1.0,105.5765151977539
4200,planner,count,k_anonymity,5,0,0,1.0,0.0
4300,operator,location,laplace,1.0,531.3488839673746,0,1.0,12.445449829101562
4300,operator,count,laplace,1.0,0,1,1.0,1.3153553009033203
4400,operator,location,laplace,1.0,562.7160221395287,0,1.0,21.82769775390625
4400,operator,count,laplace,1.0,0,1,1.0,0.0
4500,operator,location,laplace,1.0,538.3690866473864,0,1.0,14.014482498168945
4500,operator,count,laplace,1.0,0,0,1.0,0.0
4500,planner,location,k_anonymity,5,151.37208018018194,0,1.0,112.85638809204102
4500,planner,count,k_anonymity,5,0,0,1.0,0.0
4600,operator,location,laplace,1.0,548.1545719649273,0,1.0,16.837596893310547
4600,operator,count,laplace,1.0,0,0,1.0,1.302957534790039
