step,stakeholder,query_type,mechanism,epsilon,error_meters,count_error,completeness,latency_ms
4700,operator,location,none,inf,0.0,0,1.0,0.0
4700,operator,count,none,inf,0,0,1.0,0.0
4800,operator,location,none,inf,0.0,0,1.0,1.155853271484375
4800,operator,count,none,inf,0,0,1.0,0.0
4800,planner,location,none,inf,0.0,0,1.0,0.0
4800,planner,count,none,inf,0,0,1.0,0.0
4900,operator,location,none,inf,0.0,0,1.0,0.0
4900,operator,count,none,inf,0,0,1.0,0.0
5000,operator,location,none,inf,0.0,0,1.0,0.0
5000,operator,count,none,inf,0,0,1.0,0.0
5100,operator,location,none,inf,0.0,0,1.0,0.0
5100,operator,count,none,inf,0,0,1.0,0.0
5100,planner,location,none,inf,0.0,0,1.0,0.0
5100,planner,count,none,inf,0,0,1.0,0.0
5200,operator,location,none,inf,0.0,0,1.0,0.0
5200,operator,count,none,inf,0,0,1.0,0.0
5300,operator,location,none,inf,0.0,0,1.0,0.0
5300,operator,count,none,inf,0,0,1.0,0.0
5400,operator,location,none,inf,0.0,0,1.0,0.0
5400,operator,count,none,inf,0,0,1.0,0.0
5400,planner,location,none,inf,0.0,0,1.0,0.0
5400,planner,count,none,inf,0,0,1.0,0.0
5500,operator,location,none,inf,0.0,0,1.0,0.0
5500,operator,count,none,inf,0,0,1.0,0.0
5600,operator,location,none,inf,0.0,0,1.0,0.0
5600,operator,count,none,inf,0,0,1.0,0.0
5700,operator,location,none,inf,0.0,0,1.0,1.1212825775146484
5700,operator,count,none,inf,0,0,1.0,0.0
5700,planner,location,none,inf,0.0,0,1.0,0.0
5700,planner,count,none,inf,0,0,1.0,0.0
5800,operator,location,none,inf,0.0,0,1.0,0.0
5800,operator,count,none,inf,0,0,1.0,0.0
5900,operator,location,none,inf,0.0,0,1.0,0.0
5900,operator,count,none,inf,0,0,1.0,0.0
6000,operator,location,none,inf,0.0,0,1.0,0.0
6000,operator,count,none,inf,0,0,1.0,0.0
6000,planner,location,none,inf,0.0,0,1.0,0.0
6000,planner,count,none,inf,0,0,1.0,0.0
6100,operator,location,none,inf,0.0,0,1.0,0.0
6100,operator,count,none,inf,0,0,1.0,0.0
6200,operator,location,none,inf,0.0,0,1.0,0.0
6200,operator,count,none,inf,0,0,1.0,0.0
6300,operator,location,none,inf,0.0,0,1.0,0.0
6300,operator,count,none,inf,0,0,1.0,0.0
6300,planner,location,none,inf,0.0,0,1.0,0.0
6300,planner,count,none,inf,0,0,1.0,0.0
6400,operator,location,none,inf,0.0,0,1.0,0.0
6400,operator,count,none,inf,0,0,1.0,0.0
